anyang,安阳
anshan,鞍山
beijing,北京
beihai,北海
baoding,保定
benxi,本溪
baotou,包头
binzhou,滨州
baoji,宝鸡
chaozhou,潮州
chengde,承德
cangzhou,沧州
changsha,长沙
changde,常德
changchun,长春
changzhou,常州
changshu,常熟
chifeng,赤峰
changzhi,长治
chengdu,成都
chongqing,重庆
dongguan,东莞
daqing,大庆
dalian,大连
dandong,丹东
dongying,东营
dezhou,德州
datong,大同
deyang,德阳
eerduosi,鄂尔多斯
fuzhou,福州
foshan,佛山
fushun,抚顺
fuyang,富阳
guangzhou,广州
guilin,桂林
guiyang,贵阳
hefei,合肥
heyuan,河源
huizhou,惠州
haikou,海口
hengshui,衡水
handan,邯郸
haerbin,哈尔滨
haimen,海门
huaian,淮安
huludao,葫芦岛
huhehaote,呼和浩特
heze,菏泽
hangzhou,杭州
huzhou,湖州
jinchang,金昌
jiayuguan,嘉峪关
jiangmen,江门
jieyang,揭阳
jiaozuo,焦作
jingzhou,荆州
jilin,吉林
jiangyin,江阴
jintan,金坛
jurong,句容
jiujiang,九江
jinzhou,锦州
jinan,济南
jimo,即墨
jiaozhou,胶州
jiaonan,胶南
jining,济宁
jiaxing,嘉兴
jinhua,金华
kaifeng,开封
kunshan,昆山
kelamayi,克拉玛依
kuerle,库尔勒
kunming,昆明
lanzhou,兰州
liuzhou,柳州
langfang,廊坊
luoyang,洛阳
liyang,溧阳
lianyungang,连云港
laixi,莱西
laizhou,莱州
laiwu,莱芜
linyi,临沂
liaocheng,聊城
linfen,临汾
luzhou,泸州
lasa,拉萨
linan,临安
lishui,丽水
maanshan,马鞍山
meizhou,梅州
maoming,茂名
mudanjiang,牡丹江
mianyang,绵阳
nanning,南宁
nanjing,南京
nantong,南通
nanchang,南昌
nanchong,南充
ningbo,宁波
pingdingshan,平顶山
panjin,盘锦
pingdu,平度
penglai,蓬莱
panzhihua,攀枝花
quanzhou,泉州
qingyuan,清远
qinhuangdao,秦皇岛
qiqihaer,齐齐哈尔
qingdao,青岛
qujing,曲靖
quzhou,衢州
rongcheng,荣成
rushan,乳山
rizhao,日照
shenzhen,深圳
shantou,汕头
shaoguan,韶关
shanwei,汕尾
sanya,三亚
shijiazhuang,石家庄
sanmenxia,三门峡
suzhou,苏州
suqian,宿迁
shenyang,沈阳
shizuishan,石嘴山
shouguang,寿光
shanghai,上海
shaoxing,绍兴
tangshan,唐山
taicang,太仓
taizhoushi,泰州
taian,泰安
taiyuan,太原
tongchuan,铜川
tianjin,天津
taizhou,台州
wuhu,芜湖
wuhan,武汉
wuxi,无锡
wujiang,吴江
wafangdian,瓦房店
weifang,潍坊
weihai,威海
wendeng,文登
weinan,渭南
wulumuqi,乌鲁木齐
wenzhou,温州
xiamen,厦门
xingtai,邢台
xiangtan,湘潭
xuzhou,徐州
xining,西宁
xian,西安
xianyang,咸阳
yangjiang,阳江
yunfu,云浮
yichang,宜昌
yueyang,岳阳
yixing,宜兴
yancheng,盐城
yangzhou,扬州
yingkou,营口
yinchuan,银川
yantai,烟台
yangquan,阳泉
yanan,延安
yibin,宜宾
yuxi,玉溪
yiwu,义乌
zhuhai,珠海
zhongshan,中山
zhanjiang,湛江
zhaoqing,肇庆
zunyi,遵义
zhangjiakou,张家口
zhengzhou,郑州
zhuzhou,株洲
zhangjiajie,张家界
zhangjiagang,张家港
zhenjiang,镇江
zhangqiu,章丘
zibo,淄博
zaozhuang,枣庄
zhaoyuan,招远
zigong,自贡
zhuji,诸暨
zhoushan,舟山
